feature,coef,odds_ratio,direction
JobRole_Laboratory Technician,0.8119653668275779,2.2523302947702555,↑ risk
OverTime_Yes,0.7734367052315158,2.1672015028296867,↑ risk
BusinessTravel_Travel_Frequently,0.7219597054346146,2.058463242119372,↑ risk
JobLevel,0.6650319648266992,1.9445526776327662,↑ risk
TotalWorkingYears,-0.6526349469549669,0.5206720245081679,↓ risk
JobRole_Sales Representative,0.5363622049704105,1.7097757216286087,↑ risk
BusinessTravel_Travel_Rarely,0.5126978108779241,1.6697899012473871,↑ risk
YearsSinceLastPromotion,0.49688956671384776,1.643601000437814,↑ risk
Department_Sales,0.49553674772698947,1.6413790091125051,↑ risk
EducationField_Life Sciences,-0.48656873073941936,0.6147320908391328,↓ risk
NumCompaniesWorked,0.46760704094701944,1.59617004996193,↑ risk
YearsWithCurrManager,-0.45592981490067463,0.6338583229467631,↓ risk
MaritalStatus_Single,0.4448644423225197,1.5602786737430343,↑ risk
EnvironmentSatisfaction,-0.4382938303300808,0.6451361944242879,↓ risk
EducationField_Medical,-0.4250876007585342,0.6537125169091695,↓ risk
JobRole_Human Resources,0.3904604659787052,1.4776610498947822,↑ risk
JobSatisfaction,-0.3902301568403859,0.6769010631583793,↓ risk
JobRole_Sales Executive,0.3901618730719421,1.4772198966525758,↑ risk
Department_Research & Development,0.3874522747542981,1.4732226420286454,↑ risk
EducationField_Other,-0.38260029484205965,0.6820854778904935,↓ risk
JobRole_Research Director,-0.38246146121352237,0.6821801808661884,↓ risk
DistanceFromHome,0.32152897642513784,1.379234970745978,↑ risk
JobRole_Research Scientist,0.3075651778245185,1.360109454588407,↑ risk
JobInvolvement,-0.28431462613308145,0.7525298419017884,↓ risk
Age,-0.2731628598980423,0.7609688462279562,↓ risk
RelationshipSatisfaction,-0.24874751238549764,0.7797768325236955,↓ risk
YearsAtCompany,0.24735956591954072,1.2806395043237273,↑ risk
EducationField_Marketing,-0.23905421520980064,0.787372193666839,↓ risk
PercentSalaryHike,-0.23831051083816918,0.7879579836096409,↓ risk
DailyRate,-0.23037879939687864,0.7942326906501184,↓ risk
WorkLifeBalance,-0.22870259918902286,0.7955651000317464,↓ risk
YearsInCurrentRole,-0.2222134796176907,0.8007444034778569,↓ risk
StockOptionLevel,-0.21363925939435666,0.8076396809060274,↓ risk
MaritalStatus_Married,0.18847615866842982,1.2074082964219257,↑ risk
TrainingTimesLastYear,-0.16547440282224662,0.8474915563192917,↓ risk
Gender_Male,0.15294881205748567,1.1652653298813747,↑ risk
PerformanceRating,0.14863591085575462,1.160250477694291,↑ risk
EducationField_Technical Degree,-0.11510993790707372,0.8912681543650152,↓ risk
MonthlyIncome,-0.1124078281405081,0.8936797154335983,↓ risk
JobRole_Manufacturing Director,0.11067910268942271,1.1170363953597595,↑ risk
EmployeeNumber,0.07344872146818904,1.0762133486164902,↑ risk
HourlyRate,-0.06360178219411707,0.9383786042066299,↓ risk
MonthlyRate,0.026014576315124226,1.0263559088515652,↑ risk
Education,0.018780722709369046,1.0189581897274638,↑ risk
StandardHours,0.018710421815161405,1.0188865585734623,↑ risk
JobRole_Manager,0.010559868916036906,1.0106158211076333,↑ risk
EmployeeCount,0.00023388027252970456,1.000233907624653,↑ risk
